"Client/address","Client/comercial_name","Client/business_name","Client/enterpris_key","Client/city_id/name","Client/city_id/timezone","Client/city_id/country_id/currencyiso","Client/city_id/country_id/region","Client/city_id/country_id/name","Client/city_id/country_id/prefixphone"
"Av. Simón Bolivar 1515, Pueblo Libre 15084, Perú","qaprueba","pruebaqas","5ce7f90d-a37e-480a-8e69-d84828e3342d","lima","America/Lima","PEN","PE","PERU","51"
"Av. Simón Bolivar 1515, Pueblo Libre 15084, Perú","qaprueba","pruebaqas","5ce7f90d-a37e-480a-8e69-d84828e3342d","lima","America/Lima","PEN","PE","PERU","51"
"Av. Simón Bolivar 1515, Pueblo Libre 15084, Perú","qaprueba","pruebaqas","5ce7f90d-a37e-480a-8e69-d84828e3342d","lima","America/Lima","PEN","PE","PERU","51"
"Santiago, Región Metropolitana, Chile","prueba qa4 sac","prueba qa4","4662e22b-3855-4e64-9e7a-c51bb7224db1","santiago","America/Santiago","CLP","CL","CHILE","56"
"Santiago, Región Metropolitana, Chile","prueba qa4 sac","prueba qa4","4662e22b-3855-4e64-9e7a-c51bb7224db1","santiago","America/Santiago","CLP","CL","CHILE","56"
"Santiago, Región Metropolitana, Chile","prueba qa4 sac","prueba qa4","4662e22b-3855-4e64-9e7a-c51bb7224db1","santiago","America/Santiago","CLP","CL","CHILE","56"
"Santiago, Región Metropolitana, Chile","prueba qa4 sac","prueba qa4","4662e22b-3855-4e64-9e7a-c51bb7224db1","santiago","America/Santiago","CLP","CL","CHILE","56"
"Santiago, Región Metropolitana, Chile","prueba qa4 sac","prueba qa4","4662e22b-3855-4e64-9e7a-c51bb7224db1","santiago","America/Santiago","CLP","CL","CHILE","56"
"La Capitanía 80 Of. 108 Las Condes","gsbpo","gs outsoursing sa","17a4a04c-4d30-41f6-ab02-4c11c4ad1966","santiago","America/Santiago","CLP","CL","CHILE","56"
"La Capitanía 80 Of. 108 Las Condes","gsbpo","gs outsoursing sa","17a4a04c-4d30-41f6-ab02-4c11c4ad1966","santiago","America/Santiago","CLP","CL","CHILE","56"
"La Capitanía 80 Of. 108 Las Condes","gsbpo","gs outsoursing sa","17a4a04c-4d30-41f6-ab02-4c11c4ad1966","santiago","America/Santiago","CLP","CL","CHILE","56"
"La Capitanía 80 Of. 108 Las Condes","gsbpo","gs outsoursing sa","17a4a04c-4d30-41f6-ab02-4c11c4ad1966","santiago","America/Santiago","CLP","CL","CHILE","56"
"8 DE OCTUBRE 738 -  MAGDALENA DEL MAR","ccgroup peru sac","ccgroup peru sac","84bcc2dc-d55e-4747-9f2a-8b037467f856","lima","America/Lima","PEN","PE","PERU","51"
"Javier Prado Este 175, San Isidro","tiyapuy","maxon peru s.a.c.","93ee0e49-c929-4e13-8a15-ee1dd2f3e52b","lima","America/Lima","PEN","PE","PERU","51"
